class,median,standard deviation,mean,kurtosis
non_gunshot,0,0.3924147546,-0.01294618724,0.001747436083
non_gunshot,-0.0000757826,0.3120555878,-0.09631097279,0.002868359993
non_gunshot,0.0000212472,0.8569221303,-0.03141095155,0.0003602498619
non_gunshot,0,0.4322414182,-0.04072988095,0.001306766827
non_gunshot,0,0.4176692764,0.02410484555,0.001594266508
non_gunshot,-0.0000203114,0.5431056551,-0.04505740166,0.0009210433555
non_gunshot,-0.000107065,0.2772885573,-0.2073458076,0.003725880939
non_gunshot,0.0000213628,0.6636056505,0.06757863552,0.0006285803088
non_gunshot,0,0.7466942805,-0.2063999971,0.0004674222266
non_gunshot,0,0.6335186175,-0.1814329582,0.0005922642707
non_gunshot,0,0.3566576691,-0.04052684071,0.002179991965
non_gunshot,0,0.1128589129,-0.00681926285,0.01981600728
non_gunshot,0,0.3704481659,0.001297572742,0.002051374058
non_gunshot,0.0000256434,0.4581233368,0.01081272163,0.001331896663
non_gunshot,0,0.1892182989,0.001956730712,0.007605587851
non_gunshot,-0.0000287004,0.429654802,0.01172541413,0.001449637574
non_gunshot,0,0.3549677878,0.02487636519,0.002043322724
non_gunshot,-0.0002199434,0.1349726493,-0.009624940384,0.01441851891
non_gunshot,0,0.3193914693,0.0407929966,0.002599983833
